age,Computer,TV,Cellphone,Software,Frequency3,Monetary3,Monetary60
37,4,1,0,2,7,1607621.20656276,3220018.16223884
21,4,1,1,1,7,1654844.15638362,4792483.9219101
20,1,2,2,1,6,1884846.00667655,4681646.22619232
11,0,3,0,2,5,1415477.82762533,5861252.14096508
17,0,2,1,0,3,1669847.83548436,3914120.7031047996
33,3,2,2,0,7,1545481.23852585,4947146.20356515
31,0,3,2,5,10,2105460.07100934,6473999.40880908
28,0,2,1,6,9,1489749.89392392,5644315.25812264
19,1,2,2,7,12,2778741.22300153,9471111.08747988
31,6,3,0,6,15,2918166.52414713,2283950.86912228
33,4,1,1,4,10,1911474.13364375,8608557.63662782
36,1,0,1,4,6,1716291.01120753,4166897.98554586
27,3,1,1,1,6,1911924.39250468,6218210.68884069
23,3,2,1,5,11,1850448.16849163,5158172.7268640995
19,3,3,2,3,11,2524179.00577484,5134171.76140403
19,2,3,2,3,10,1747747.81068215,3291324.07951625
20,1,2,1,0,4,1568031.30474543,6070611.82135888
29,5,0,0,0,5,1790373.64486958,5269906.87978666
17,6,0,1,2,9,1539423.47205208,8443664.04702361
36,4,0,2,3,9,2121702.25139448,5381559.82334991
33,2,2,0,1,5,1488341.60756072,2662927.73792025
38,1,0,1,3,5,1726595.31124986,4509869.94814665
35,3,0,1,6,10,2009719.62158691,5975292.98210651
39,1,2,1,2,6,1693040.77533858,4275894.58805015
12,5,2,2,3,12,2238082.32891766,4644384.43695317
16,1,1,2,0,4,1418756.31018427,5007130.17063102
27,2,1,0,7,10,2513800.70450599,7209767.24199719
15,6,2,0,2,10,2478641.08107034,3995479.3939677
26,2,3,0,7,12,1799346.90910439,7364052.09843967
10,2,3,0,6,11,2193621.02127869,7036727.56528637
32,1,2,0,6,9,2213679.71941111,11995036.1560213
14,5,0,1,6,12,1986771.36833141,6187846.98372104
20,2,2,0,6,10,1816478.95948774,2883466.60180076
36,6,2,2,1,11,1827785.81633099,8377068.62410562
39,5,1,1,0,7,1686633.70012897,8556420.19599449
29,4,3,1,1,9,2351936.64047826,5801695.11671109
25,1,0,0,5,6,1078031.31930185,4894854.61631521
36,0,3,2,0,5,1208609.01373452,4613707.372585299
40,2,1,2,6,11,1601958.92879187,4648801.81159805
17,5,2,1,7,15,2349641.19961997,9370538.63716474
24,0,0,2,2,4,1368722.134035,3857336.39343777
39,4,3,2,1,10,1632321.16220332,2785261.18662458
16,1,0,0,6,7,2061339.93938262,3590067.30986512
24,3,2,1,0,6,1500226.89287127,4810279.90244606
36,0,2,1,4,7,1666278.10344668,5075364.38810938
22,2,3,1,2,8,2120843.30590766,5621061.60847736
34,5,3,2,4,14,2197878.4687344,4751482.55047325
29,5,2,0,1,8,2003868.24765226,5370991.00685036
