"SEX","STATUS","CHILDREN","Est_Income","AGE","PAY_MTHD","CHURNED"
"F","M",2,27535.3,57,"CH","Vol"
"F","M",2,81000.9,68,"CC","Vol"
"M","S",0,87467.1,34,"CC","Current"
"M","M",2,83220.6,60,"CC","Vol"
"F","M",2,20850.4,28,"CH","Vol"
"M","S",0,84112.6,52,"CC","Current"
"F","S",2,3776.12,87,"CC","Vol"
"F","M",2,73865.9,88,"Auto","Vol"
"M","M",2,30933.6,76,"Auto","Current"
"F","M",1,12309.6,76,"CC","Vol"
"M","S",0,69864,87,"CH","Vol"
"F","M",0,91620.6,90,"CH","Current"
"M","S",0,96501.9,62,"CC","Current"
"M","S",1,3968.54,81,"CC","Current"
"F","M",2,13774.2,50,"CH","Vol"
"M","S",2,39428.2,48,"CH","Current"
"F","S",2,4988.14,37,"CC","Current"
"M","S",2,85753.8,55,"CH","Vol"
"M","M",2,23564.1,21,"CC","Vol"
"M","S",0,37661,42,"CC","Current"
"M","M",2,99064,71,"Auto","Current"
"F","M",0,87251.8,94,"CC","Vol"
"F","M",0,2974.76,33,"CC","Vol"
"F","S",2,92885.9,86,"Auto","Current"
"M","M",2,11676.2,54,"Auto","Current"
"F","M",0,27842.1,19,"Auto","Vol"
"F","M",1,9925.68,18,"CC","Vol"
"M","M",2,17562.9,75,"CC","Current"
"M","M",0,50676,62,"CC","Current"
"F","S",2,8383.47,23,"Auto","Vol"
"M","M",0,28128.4,57,"CC","Current"
"M","S",0,88413.4,52,"CC","Vol"
"M","S",0,81420,48,"CH","Vol"
"F","M",2,37155,77,"CC","Vol"
"M","M",1,85927.7,61,"CC","Current"
"F","M",0,38950.5,25,"CC","Vol"
"M","S",0,44143.1,56,"CC","Vol"
"M","M",1,39378.9,45,"CC","Current"
"F","S",1,69454.6,59,"Auto","Vol"
"F","S",2,74392.1,78,"CC","Current"
"F","M",2,75323.4,21,"CC","Current"
"M","M",2,94092.6,62,"CC","Current"
"M","S",1,63769.7,32,"CC","Vol"
"M","M",0,33935.8,43,"CH","Current"
"F","M",2,18913.2,32,"CC","Vol"
"M","M",1,99398.1,20,"CC","Vol"
"F","S",1,96112.1,83,"CH","Vol"
"F","M",0,46734.5,46,"Auto","Vol"
"M","S",0,80025.3,66,"CC","Current"
"F","S",2,49776.2,42,"Auto","Vol"
"M","S",2,4335.86,27,"CC","Vol"
"F","S",0,74912.1,93,"CC","Vol"
"M","M",1,25949,93,"CC","Current"
"F","M",0,76660.7,73,"CC","Current"
"M","M",0,58764.7,48,"CC","Current"
"M","M",2,90070.5,47,"Auto","Current"
"F","M",2,38925.5,94,"CC","Current"
"M","S",2,9431.04,20,"CC","Vol"
"M","M",0,38038.7,32,"CH","Current"
"F","S",0,50290.7,19,"CC","Vol"
"F","S",1,88990.6,78,"CH","Vol"
"F","M",1,5283.2,36,"CH","Current"
"M","M",1,37571.1,79,"CH","Current"
"F","M",1,22767,23,"CC","Vol"
"M","M",0,61985.6,79,"CH","Current"
"M","M",1,23234.8,27,"CC","Current"
"M","M",2,20759.9,81,"CC","Current"
